	Home Location     Waypoint 	Fire Exit
       (Pose(6, -9.0), Pose(-11, 2.2), Pose(-16.5, 9.13)
        (Pose(6, -8),  Pose(-7, 8.7),  Pose(-16.6, 9)
        (Pose(6, -7),  Pose(-11, -1.8), Pose(-16.6, 0.04)
        (Pose(6, -6.0), Pose(-11.0, -6.8), Pose(-16.4, 0.04)
        (Pose(7, -9.0), Pose(-9, -6.8), Pose(-16.5, 0))
        (Pose(7, -8.0), Pose(-3.3, -9.1), Pose(7, -8.0))
        (Pose(7, -7.0), Pose(-8.7, -1.7), Pose(7, -7))
        (Pose(7, -6.0), Pose(1.57, 4.68), Pose(1.32, 9.7)
        (Pose(8, -9.0), Pose(4.18, 4.68), Pose(1.32, 9.5)
        (Pose(8, -8.0), Pose(3.72, -0.56), Pose(8, -8)
        (Pose(8, -7.0), Pose(-15.9, 2.15), Pose(-16.5, 9.13)
        (Pose(8, -6.0), Pose(-4.4, 8.7), Pose(1.3, 9.4)),
        (Pose(9, -9.0), Pose(-10.9, 0.04), Pose(-16.3, 0.05)
        (Pose(9, -8.0), Pose(-14.7, -8.8), Pose(-16.1, 0.045)
        (Pose(9, -7.0), Pose(-8.94, -4.9), Pose(9, -7)),
        (Pose(9, -6.0), Pose(-8.6, 0.43), Pose(1.32, 9.42)
        (Pose(10, -9.0), Pose(1.86, 1.18), Pose(10, -9)
        (Pose(10, -8.0), Pose(4.1, 1.2), Pose(10, -8)),
        (Pose(10, -7.0), Pose(8.6, 8.45), Pose(1.32, 9.52)
        (Pose(10, -6.0), Pose(8.67, -3.93), Pose(10, -6))
   

